week,count
2010-01-25,1
2010-05-03,2
2010-06-28,1
2010-07-12,3
2010-07-19,2
2010-07-26,2
2010-08-02,1
2010-08-16,6
2010-08-30,14
2010-09-06,21
2010-09-13,34
2010-09-20,106
2010-09-27,165
2010-10-04,296
2010-10-11,284
2010-10-18,325
2010-10-25,232
2010-11-01,248
2010-11-08,313
2010-11-15,138
2010-11-22,65
2010-11-29,35
2010-12-06,22
2010-12-13,14
2010-12-20,1
2010-12-27,4
