week,count
2010-05-31,1
2010-07-05,1
2010-07-19,1
2010-08-23,1
2010-08-30,2
2010-09-06,7
2010-09-13,10
2010-09-20,25
2010-09-27,35
2010-10-04,39
2010-10-11,34
2010-10-18,53
2010-10-25,34
2010-11-01,52
2010-11-08,43
2010-11-15,22
2010-11-22,13
2010-11-29,8
2010-12-06,4
2010-12-13,5
2010-12-20,1
2010-12-27,2
